cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19696, 1, 1, 1, 0, 5.53759e-10, 15137, 0.768532
19697, 1, 1, 1, 0, 5.53205e-10, 15138, 0.768543
19698, 1, 1, 1, 0, 5.52652e-10, 15139, 0.768555
19699, 0, 0, 1, 0, 5.52099e-10, 15139, 0.768516
19700, 1, 1, 1, 0, 5.51547e-10, 15140, 0.768528
19701, 0, 0, 1, 0, 5.50995e-10, 15140, 0.768489
19702, 0, 0, 1, 0, 5.50444e-10, 15140, 0.76845
19703, 1, 1, 1, 0, 5.49894e-10, 15141, 0.768462
19704, 0, 0, 1, 0, 5.49344e-10, 15141, 0.768423
19705, 1, 1, 1, 0, 5.48795e-10, 15142, 0.768434
19706, 1, 1, 1, 0, 5.48246e-10, 15143, 0.768446
19707, 1, 1, 1, 0, 5.47698e-10, 15144, 0.768458
19708, 1, 1, 1, 0, 5.4715e-10, 15145, 0.76847
19709, 0, 0, 1, 0, 5.46603e-10, 15145, 0.768431
19710, 0, 0, 1, 0, 5.46056e-10, 15145, 0.768392
19711, 0, 0, 1, 0, 5.4551e-10, 15145, 0.768353
19712, 1, 1, 1, 0, 5.44965e-10, 15146, 0.768364
19713, 1, 1, 1, 0, 5.4442e-10, 15147, 0.768376
19714, 1, 1, 1, 0, 5.43875e-10, 15148, 0.768388
19715, 0, 0, 1, 0, 5.43331e-10, 15148, 0.768349
19716, 1, 1, 1, 0, 5.42788e-10, 15149, 0.768361
19717, 1, 1, 1, 0, 5.42245e-10, 15150, 0.768372
19718, 1, 1, 1, 0, 5.41703e-10, 15151, 0.768384
19719, 1, 1, 1, 0, 5.41161e-10, 15152, 0.768396
19720, 1, 1, 0, 0, 5.4062e-10, 15153, 0.768408
19721, 1, 0, 1, 0, 5.4008e-10, 15153, 0.768369
19722, 1, 1, 1, 0, 5.3954e-10, 15154, 0.76838
19723, 1, 1, 1, 0, 5.39e-10, 15155, 0.768392
19724, 1, 1, 1, 0, 5.38461e-10, 15156, 0.768404
19725, 1, 1, 1, 0, 5.37923e-10, 15157, 0.768416
19726, 1, 1, 1, 0, 5.37385e-10, 15158, 0.768427
19727, 1, 1, 1, 0, 5.36847e-10, 15159, 0.768439
19728, 1, 1, 1, 0, 5.3631e-10, 15160, 0.768451
19729, 0, 0, 1, 0, 5.35774e-10, 15160, 0.768412
19730, 0, 0, 1, 0, 5.35238e-10, 15160, 0.768373
19731, 1, 1, 1, 0, 5.34703e-10, 15161, 0.768385
19732, 1, 1, 1, 0, 5.34168e-10, 15162, 0.768397
19733, 1, 1, 1, 0, 5.33634e-10, 15163, 0.768408
19734, 1, 1, 1, 0, 5.33101e-10, 15164, 0.76842
19735, 1, 1, 1, 0, 5.32567e-10, 15165, 0.768432
19736, 1, 1, 0, 0, 5.32035e-10, 15166, 0.768443
19737, 0, 1, 1, 0, 5.31503e-10, 15167, 0.768455
19738, 1, 1, 1, 0, 5.30971e-10, 15168, 0.768467
19739, 1, 1, 1, 0, 5.3044e-10, 15169, 0.768479
19740, 0, 0, 1, 0, 5.2991e-10, 15169, 0.76844
19741, 1, 1, 1, 0, 5.2938e-10, 15170, 0.768451
19742, 1, 1, 1, 0, 5.28851e-10, 15171, 0.768463
19743, 1, 1, 1, 0, 5.28322e-10, 15172, 0.768475
19744, 1, 1, 1, 0, 5.27794e-10, 15173, 0.768487
19745, 1, 1, 1, 0, 5.27266e-10, 15174, 0.768498
19746, 1, 1, 1, 0, 5.26738e-10, 15175, 0.76851
19747, 1, 1, 1, 0, 5.26212e-10, 15176, 0.768522
19748, 1, 1, 1, 0, 5.25685e-10, 15177, 0.768534
19749, 1, 1, 0, 0, 5.2516e-10, 15178, 0.768545
19750, 1, 0, 1, 0, 5.24635e-10, 15178, 0.768506
19751, 1, 1, 1, 0, 5.2411e-10, 15179, 0.768518
19752, 1, 1, 1, 0, 5.23586e-10, 15180, 0.76853
19753, 1, 1, 1, 0, 5.23062e-10, 15181, 0.768541
19754, 1, 1, 1, 0, 5.22539e-10, 15182, 0.768553
19755, 1, 1, 1, 0, 5.22017e-10, 15183, 0.768565
19756, 1, 1, 1, 0, 5.21495e-10, 15184, 0.768577
19757, 1, 1, 1, 0, 5.20973e-10, 15185, 0.768588
19758, 0, 0, 1, 0, 5.20452e-10, 15185, 0.768549
19759, 1, 1, 1, 0, 5.19932e-10, 15186, 0.768561
19760, 1, 1, 1, 0, 5.19412e-10, 15187, 0.768573
19761, 1, 1, 1, 0, 5.18892e-10, 15188, 0.768585
19762, 0, 0, 1, 0, 5.18374e-10, 15188, 0.768546
19763, 1, 1, 1, 0, 5.17855e-10, 15189, 0.768557
19764, 1, 1, 1, 0, 5.17337e-10, 15190, 0.768569
19765, 1, 1, 1, 0, 5.1682e-10, 15191, 0.768581
19766, 0, 0, 1, 0, 5.16303e-10, 15191, 0.768542
19767, 1, 1, 1, 0, 5.15787e-10, 15192, 0.768554
19768, 1, 1, 1, 0, 5.15271e-10, 15193, 0.768565
19769, 1, 1, 1, 0, 5.14756e-10, 15194, 0.768577
19770, 0, 0, 1, 0, 5.14241e-10, 15194, 0.768538
19771, 1, 1, 1, 0, 5.13727e-10, 15195, 0.76855
19772, 0, 0, 1, 0, 5.13213e-10, 15195, 0.768511
19773, 1, 1, 1, 0, 5.127e-10, 15196, 0.768523
19774, 0, 0, 1, 0, 5.12187e-10, 15196, 0.768484
19775, 0, 0, 1, 0, 5.11675e-10, 15196, 0.768445
19776, 1, 1, 1, 0, 5.11163e-10, 15197, 0.768457
19777, 1, 1, 1, 0, 5.10652e-10, 15198, 0.768468
19778, 0, 0, 1, 0, 5.10141e-10, 15198, 0.76843
19779, 1, 1, 1, 0, 5.09631e-10, 15199, 0.768441
19780, 1, 1, 1, 0, 5.09122e-10, 15200, 0.768453
19781, 1, 1, 1, 0, 5.08613e-10, 15201, 0.768465
19782, 0, 0, 1, 0, 5.08104e-10, 15201, 0.768426
19783, 1, 1, 1, 0, 5.07596e-10, 15202, 0.768438
19784, 1, 1, 1, 0, 5.07088e-10, 15203, 0.768449
19785, 1, 1, 1, 0, 5.06581e-10, 15204, 0.768461
19786, 1, 1, 1, 0, 5.06075e-10, 15205, 0.768473
19787, 1, 1, 0, 0, 5.05569e-10, 15206, 0.768484
19788, 1, 0, 1, 0, 5.05063e-10, 15206, 0.768446
19789, 1, 1, 1, 0, 5.04558e-10, 15207, 0.768457
19790, 1, 1, 1, 0, 5.04053e-10, 15208, 0.768469
19791, 1, 1, 1, 0, 5.03549e-10, 15209, 0.768481
19792, 1, 1, 1, 0, 5.03046e-10, 15210, 0.768492
19793, 0, 0, 1, 0, 5.02543e-10, 15210, 0.768453
19794, 1, 1, 1, 0, 5.0204e-10, 15211, 0.768465
19795, 1, 1, 1, 0, 5.01538e-10, 15212, 0.768477
19796, 1, 1, 1, 0, 5.01037e-10, 15213, 0.768489
