cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19556, 0, 1, 2, 0, 3.15324e-09, 22090, 1.12958
19557, 2, 1, 2, 0, 3.15009e-09, 22091, 1.12957
19558, 0, 2, 0, 0, 3.14694e-09, 22093, 1.12961
19559, 0, 1, 0, 0, 3.14379e-09, 22094, 1.12961
19560, 1, 2, 0, 0, 3.14065e-09, 22096, 1.12965
19561, 0, 1, 1, 0, 3.13751e-09, 22097, 1.12965
19562, 0, 0, 2, 0, 3.13437e-09, 22097, 1.12959
19563, 0, 2, 0, 0, 3.13124e-09, 22099, 1.12963
19564, 2, 0, 1, 0, 3.12811e-09, 22099, 1.12957
19565, 2, 2, 0, 0, 3.12498e-09, 22101, 1.12962
19566, 2, 0, 1, 0, 3.12185e-09, 22101, 1.12956
19567, 2, 2, 0, 0, 3.11873e-09, 22103, 1.12961
19568, 2, 0, 1, 0, 3.11561e-09, 22103, 1.12955
19569, 2, 2, 0, 0, 3.1125e-09, 22105, 1.12959
19570, 1, 2, 0, 0, 3.10938e-09, 22107, 1.12964
19571, 2, 0, 1, 0, 3.10627e-09, 22107, 1.12958
19572, 2, 2, 1, 0, 3.10317e-09, 22109, 1.12962
19573, 1, 1, 1, 0, 3.10006e-09, 22110, 1.12962
19574, 2, 2, 0, 0, 3.09696e-09, 22112, 1.12966
19575, 1, 2, 1, 0, 3.09387e-09, 22114, 1.12971
19576, 0, 0, 0, 0, 3.09077e-09, 22114, 1.12965
19577, 1, 2, 1, 0, 3.08768e-09, 22116, 1.12969
19578, 0, 0, 2, 0, 3.0846e-09, 22116, 1.12964
19579, 1, 0, 0, 0, 3.08151e-09, 22116, 1.12958
19580, 2, 0, 1, 0, 3.07843e-09, 22116, 1.12952
19581, 2, 2, 1, 0, 3.07535e-09, 22118, 1.12956
19582, 2, 2, 1, 0, 3.07228e-09, 22120, 1.12961
19583, 1, 1, 0, 0, 3.0692e-09, 22121, 1.1296
19584, 0, 1, 2, 0, 3.06613e-09, 22122, 1.1296
19585, 2, 1, 0, 0, 3.06307e-09, 22123, 1.12959
19586, 2, 0, 1, 0, 3.06e-09, 22123, 1.12953
19587, 2, 2, 0, 0, 3.05694e-09, 22125, 1.12958
